Analysis,ICPMS_connect,Sample,Mica_type,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,LiO2,Cl,F ,Total,"O=F,Cl_Wt%",Volatitle TOTAL_Wt%,SiO2_Mol Prop,TiO2_Mol Prop,Al2O3_Mol Prop,FeO_Mol Prop,MnO_Mol Prop,MgO_Mol Prop,CaO_Mol Prop,Na2O_Mol Prop,K2O_Mol Prop,LiO2_Mol Prop,Cl_Mol Prop,F_Mol Prop,SiO2_At Prop O,TiO2_At Prop O,Al2O3_At Prop O,FeO_At Prop O,MnO_At Prop O,MgO_At Prop O,CaO_At Prop O,Na2O_At Prop O,K2O_At Prop O,LiO2_At Prop O,Cl_At Prop O,F_At Prop O,Total_At Prop O,SiO2_No Anions,TiO2_No Anions,Al2O3_No Anions,FeO_No Anions,MnO_No Anions,MgO_No Anions,CaO_No Anions,Na2O_No Anions,K2O_No Anions,LiO2_No Anions,Cl_No Anions,F_No Anions,Total_No Anions,Si_,Ti_,Al_,Fe(ii)_,Mn_,Mg_,Ca_,Na_,K_,Li_,Cl_,F_,TOTAL_,Si_APFU,Al (IV)_APFU,Al (VI)_APFU,Ti_APFU,Fe(ii)_APFU,Mn_APFU,Mg_APFU,Ca_APFU,Na_APFU,K_APFU,Li_APFU,Cl_APFU,F_APFU,TOTAL_APFU,OH_APFU,XMg_APFU,Xsid_APFU,Xan_APFU,F/(F + OH)_APFU
01A05C_17,01A05C_t-6,01A05C,1,43.9222,0.0141,37.409,0.7851,0.1059,0.0088,0,0.5217,10.1466,0.194354603,0,0.1912,93.1649,0.081,93.084,0.731,0,0.367,0.011,0.001,0,0,0.008,0.108,0.005,0,0.01,1.462,0,1.101,0.011,0.001,0,0,0.008,0.108,0.01,0,0.01,2.707,11.883,0.003,8.946,0.089,0.012,0.002,0,0.068,0.875,0.081,0,0.082,8.127,5.941,0.001,5.964,0.089,0.012,0.002,0,0.137,1.751,0.041,0,0.082,13.938,5.941,2.059,3.905,0.001,0.089,0.012,0.002,0,0.137,1.751,0.041,0,0.082,13.938,3.918,0.000442632,1.144480661,-0.144923294,0.020446351
02A03B_1,02A03B_10,02A03B,3a,44.2777,0.0362,35.6898,1.2878,0.0714,0.0082,0,0.5876,9.8907,0.335994854,0,0.3409,92.2292,0.144,92.086,0.737,0,0.35,0.018,0.001,0,0,0.009,0.105,0.009,0,0.018,1.474,0.001,1.05,0.018,0.001,0,0,0.009,0.105,0.017,0,0.018,2.685,12.078,0.007,8.605,0.147,0.008,0.002,0,0.078,0.86,0.141,0,0.147,8.194,6.039,0.004,5.737,0.147,0.008,0.002,0,0.155,1.721,0.071,0,0.147,13.883,6.039,1.961,3.776,0.004,0.147,0.008,0.002,0,0.155,1.721,0.071,0,0.147,13.883,3.853,0.000423601,1.112262882,-0.112686483,0.036755447
02A03B_2,02A03B_9,02A03B,3a,43.9328,0.0324,36.2099,1.332,0.0648,0.0025,0,0.4785,9.5001,0.585720566,0,0.2479,91.8319,0.104,91.728,0.731,0,0.355,0.019,0.001,0,0,0.008,0.101,0.015,0,0.013,1.462,0.001,1.065,0.019,0.001,0,0,0.008,0.101,0.03,0,0.013,2.693,11.946,0.007,8.702,0.151,0.007,0.001,0,0.063,0.824,0.246,0,0.107,8.168,5.973,0.003,5.802,0.151,0.007,0.001,0,0.126,1.648,0.123,0,0.107,13.834,5.973,2.027,3.774,0.003,0.151,0.007,0.001,0,0.126,1.648,0.123,0,0.107,13.834,3.893,0.000128698,1.12584816,-0.125976857,0.026643155
02A03B_3,02A03B_6,02A03B,4,43.5342,0.0044,36.684,0.866,0.0394,0.0045,0,0.4348,10.1273,1.001347339,0.0008,0.1971,91.8926,0.083,91.809,0.725,0,0.36,0.012,0.001,0,0,0.007,0.108,0.026,0,0.01,1.449,0,1.079,0.012,0.001,0,0,0.007,0.108,0.051,0,0.01,2.713,11.754,0.001,8.754,0.098,0.005,0.001,0,0.057,0.872,0.417,0,0.084,8.11,5.877,0,5.836,0.098,0.005,0.001,0,0.114,1.744,0.209,0,0.084,13.883,5.877,2.123,3.713,0,0.098,0.005,0.001,0,0.114,1.744,0.209,0,0.084,13.883,3.916,0.000237291,1.138594426,-0.138831717,0.021034737
02A03B_4,02A03B_7,02A03B,4,43.8537,0.0091,36.7778,0.7718,0.0062,0,0,0.4319,10.0881,0.231910116,0.0094,0.2234,92.1965,0.096,92.1,0.73,0,0.361,0.011,0,0,0,0.007,0.107,0.006,0,0.012,1.46,0,1.082,0.011,0,0,0,0.007,0.107,0.012,0,0.012,2.685,11.961,0.002,8.867,0.088,0.001,0,0,0.057,0.877,0.098,0.002,0.096,8.194,5.981,0.001,5.911,0.088,0.001,0,0,0.114,1.755,0.049,0.002,0.096,13.899,5.981,2.019,3.892,0.001,0.088,0.001,0,0,0.114,1.755,0.049,0.002,0.096,13.899,3.901,0,1.136119975,-0.136119975,0.024098086
02A03B_5,02A03B_9,02A03B,3a,43.8453,0.0374,36.6347,1.2104,0.0755,0.0061,0,0.4762,10.2103,0.585720566,0,0.3104,92.8566,0.131,92.726,0.73,0,0.359,0.017,0.001,0,0,0.008,0.108,0.015,0,0.016,1.46,0.001,1.078,0.017,0.001,0,0,0.008,0.108,0.03,0,0.016,2.711,11.845,0.008,8.748,0.137,0.009,0.001,0,0.062,0.88,0.244,0,0.133,8.116,5.923,0.004,5.832,0.137,0.009,0.001,0,0.125,1.759,0.122,0,0.133,13.911,5.923,2.077,3.755,0.004,0.137,0.009,0.001,0,0.125,1.759,0.122,0,0.133,13.911,3.867,0.000314573,1.133616044,-0.133930616,0.033146161
02A03B_6,02A03B_8,02A03B,3a,43.8449,0.0503,36.2687,1.2764,0.0833,0,0,0.6006,9.824,0.313779028,0,0.2892,92.2958,0.122,92.174,0.73,0.001,0.356,0.018,0.001,0,0,0.01,0.104,0.008,0,0.015,1.46,0.001,1.067,0.018,0.001,0,0,0.01,0.104,0.016,0,0.015,2.685,11.961,0.01,8.745,0.146,0.01,0,0,0.079,0.855,0.132,0,0.125,8.195,5.98,0.005,5.83,0.146,0.01,0,0,0.159,1.709,0.066,0,0.125,13.905,5.98,2.02,3.811,0.005,0.146,0.01,0,0,0.159,1.709,0.066,0,0.125,13.905,3.875,0,1.128121969,-0.128121969,0.031183716
02A03B_7,02A03B_2,02A03B,3b,43.8139,0.0429,36.8045,1.0545,0.0446,0.0157,0,0.5994,9.5592,0.381809578,0.0198,0.3253,92.3187,0.141,92.177,0.729,0.001,0.361,0.015,0.001,0,0,0.01,0.101,0.01,0.001,0.017,1.459,0.001,1.083,0.015,0.001,0,0,0.01,0.101,0.02,0.001,0.017,2.698,11.894,0.009,8.831,0.12,0.005,0.003,0,0.079,0.828,0.16,0.005,0.14,8.155,5.947,0.004,5.887,0.12,0.005,0.003,0,0.158,1.655,0.08,0.005,0.14,13.859,5.947,2.053,3.834,0.004,0.12,0.005,0.003,0,0.158,1.655,0.08,0.005,0.14,13.859,3.856,0.000800918,1.136153054,-0.136953972,0.034944501
02A03B_8,02A03B_1,02A03B,3b,44.391,0.0658,36.7185,1.1811,0.0506,0.0068,0,0.4444,9.7531,0.384337761,0.021,0.2172,92.8496,0.096,92.753,0.739,0.001,0.36,0.016,0.001,0,0,0.007,0.104,0.01,0.001,0.011,1.478,0.002,1.08,0.016,0.001,0,0,0.007,0.104,0.02,0.001,0.011,2.714,11.981,0.013,8.759,0.133,0.006,0.001,0,0.058,0.839,0.16,0.005,0.093,8.108,5.99,0.007,5.839,0.133,0.006,0.001,0,0.116,1.679,0.08,0.005,0.093,13.852,5.99,2.01,3.83,0.007,0.133,0.006,0.001,0,0.116,1.679,0.08,0.005,0.093,13.852,3.903,0.00034399,1.127703006,-0.128046995,0.023198248
02A05B_1,02A05B_t-1,02A05B,3b,43.2589,0.0216,37.6128,0.5441,0.0523,0,0,0.4863,10.3185,0.404032851,0.0002,0.1559,92.4841,0.066,92.418,0.72,0,0.369,0.008,0.001,0,0,0.008,0.11,0.01,0,0.008,1.44,0.001,1.107,0.008,0.001,0,0,0.008,0.11,0.021,0,0.008,2.698,11.743,0.004,9.025,0.062,0.006,0,0,0.064,0.893,0.169,0,0.067,8.155,5.872,0.002,6.017,0.062,0.006,0,0,0.128,1.787,0.085,0,0.067,13.957,5.872,2.128,3.888,0.002,0.062,0.006,0,0,0.128,1.787,0.085,0,0.067,13.957,3.933,0,1.156622926,-0.156622926,0.016728072
02A05B_2,02A05B_t-10,02A05B,3b,43.9597,0.0133,37.7363,0.5669,0.0342,0,0,0.5587,10.0027,0.325500597,0,0.0832,93.0034,0.035,92.968,0.732,0,0.37,0.008,0,0,0,0.009,0.106,0.008,0,0.004,1.463,0,1.11,0.008,0,0,0,0.009,0.106,0.017,0,0.004,2.717,11.851,0.003,8.992,0.064,0.004,0,0,0.073,0.86,0.135,0,0.035,8.099,5.926,0.001,5.995,0.064,0.004,0,0,0.146,1.72,0.068,0,0.035,13.923,5.926,2.074,3.92,0.001,0.064,0.004,0,0,0.146,1.72,0.068,0,0.035,13.923,3.965,0,1.14944335,-0.14944335,0.00886586
02A05B_3,02A05B_t-4,02A05B,3b,43.2126,0.0095,37.2593,0.6842,0.039,0.0126,0,0.4511,10.3563,0.215364985,0.0034,0.1247,92.1969,0.053,92.144,0.719,0,0.365,0.01,0.001,0,0,0.007,0.11,0.006,0,0.007,1.439,0,1.096,0.01,0.001,0,0,0.007,0.11,0.011,0,0.007,2.677,11.822,0.002,9.009,0.078,0.005,0.003,0,0.06,0.903,0.091,0.001,0.054,8.218,5.911,0.001,6.006,0.078,0.005,0.003,0,0.12,1.807,0.045,0.001,0.054,13.976,5.911,2.089,3.917,0.001,0.078,0.005,0.003,0,0.12,1.807,0.045,0.001,0.054,13.976,3.945,0.000641801,1.151195281,-0.151837082,0.013486792
02A05B_4,02A05B_t-7,02A05B,3b,43.3509,0.0147,37.7922,0.4888,0.0017,0,0,0.6003,10.1762,0.378132374,0,0.1507,92.6334,0.063,92.57,0.722,0,0.371,0.007,0,0,0,0.01,0.108,0.01,0,0.008,1.443,0,1.112,0.007,0,0,0,0.01,0.108,0.019,0,0.008,2.703,11.744,0.003,9.049,0.055,0,0,0,0.079,0.879,0.158,0,0.065,8.138,5.872,0.001,6.033,0.055,0,0,0,0.158,1.758,0.079,0,0.065,13.957,5.872,2.128,3.905,0.001,0.055,0,0,0,0.158,1.758,0.079,0,0.065,13.957,3.935,0,1.15808979,-0.15808979,0.016136764
02A05B_5,02A05B_t-3,02A05B,3b,43.5557,0.0063,37.1586,0.6585,0.0247,0.0145,0,0.5964,10.2412,0.239354046,0.003,0.1816,92.4607,0.077,92.384,0.725,0,0.364,0.009,0,0,0,0.01,0.109,0.006,0,0.01,1.45,0,1.093,0.009,0,0,0,0.01,0.109,0.012,0,0.01,2.689,11.864,0.001,8.946,0.075,0.003,0.003,0,0.079,0.89,0.101,0.001,0.078,8.182,5.932,0.001,5.964,0.075,0.003,0.003,0,0.157,1.779,0.05,0.001,0.078,13.964,5.932,2.068,3.896,0.001,0.075,0.003,0.003,0,0.157,1.779,0.05,0.001,0.078,13.964,3.921,0.000740216,1.145085318,-0.145825534,0.019554723
02A05B_6,02A05B_t-6,02A05B,3b,43.8185,0.0055,37.2196,0.5008,0.0364,0.015,0,0.4656,10.0843,0.202199751,0,0.1248,92.3263,0.053,92.274,0.729,0,0.365,0.007,0.001,0,0,0.008,0.107,0.005,0,0.007,1.459,0,1.095,0.007,0.001,0,0,0.008,0.107,0.01,0,0.007,2.69,11.93,0.001,8.956,0.057,0.004,0.003,0,0.061,0.876,0.085,0,0.054,8.178,5.965,0.001,5.971,0.057,0.004,0.003,0,0.123,1.751,0.042,0,0.054,13.917,5.965,2.035,3.936,0.001,0.057,0.004,0.003,0,0.123,1.751,0.042,0,0.054,13.917,3.946,0.000760925,1.142571348,-0.143332273,0.013429747
12A13_1,12A13_t_ms-3,12A13,1,44.0026,0.0293,37.0829,1.0002,0.0799,0.0053,0,0.6115,10.03,0.344386517,0,0.2469,93.133,0.104,93.029,0.732,0,0.364,0.014,0.001,0,0,0.01,0.106,0.009,0,0.013,1.465,0.001,1.091,0.014,0.001,0,0,0.01,0.106,0.018,0,0.013,2.712,11.881,0.006,8.85,0.113,0.009,0.001,0,0.08,0.864,0.143,0,0.105,8.111,5.941,0.003,5.9,0.113,0.009,0.001,0,0.16,1.727,0.072,0,0.105,13.926,5.941,2.059,3.841,0.003,0.113,0.009,0.001,0,0.16,1.727,0.072,0,0.105,13.926,3.895,0.000268922,1.138623616,-0.138892538,0.02635032
12A13_2,12A13_t_ms-2,12A13,1,43.4822,0.0246,37.7184,1.0123,0.0665,0.0079,0,0.6528,9.3331,0.365443863,0.0033,0.4115,92.7286,0.174,92.555,0.724,0,0.37,0.014,0.001,0,0,0.011,0.099,0.009,0,0.022,1.447,0.001,1.11,0.014,0.001,0,0,0.011,0.099,0.019,0,0.022,2.712,11.74,0.005,9.002,0.114,0.008,0.002,0,0.085,0.804,0.152,0.001,0.176,8.111,5.87,0.002,6.001,0.114,0.008,0.002,0,0.171,1.607,0.076,0.001,0.176,13.851,5.87,2.13,3.871,0.002,0.114,0.008,0.002,0,0.171,1.607,0.076,0.001,0.176,13.851,3.824,0.000397772,1.154854095,-0.155251868,0.043925019
12A13_3,12A13_t_ms-5,12A13,1,43.5248,0.0238,37.5409,0.9772,0.0706,0.001,0,0.6172,9.189,0.347862251,0.0055,0.3262,92.3732,0.139,92.235,0.724,0,0.368,0.014,0.001,0,0,0.01,0.098,0.009,0,0.017,1.449,0.001,1.105,0.014,0.001,0,0,0.01,0.098,0.018,0,0.017,2.703,11.794,0.005,8.991,0.111,0.008,0,0,0.081,0.794,0.145,0.001,0.14,8.14,5.897,0.002,5.994,0.111,0.008,0,0,0.162,1.588,0.073,0.001,0.14,13.835,5.897,2.103,3.891,0.002,0.111,0.008,0,0,0.162,1.588,0.073,0.001,0.14,13.835,3.859,5.03E-05,1.152062512,-0.152112851,0.034948511
12A13_4,12A13_t_ms-4,12A13,1,43.9895,0.0262,37.0605,0.8934,0.0769,0,0,0.5792,9.8729,0.35022304,0,0.3075,92.8212,0.129,92.692,0.732,0,0.363,0.012,0.001,0,0,0.009,0.105,0.009,0,0.016,1.464,0.001,1.09,0.012,0.001,0,0,0.009,0.105,0.018,0,0.016,2.709,11.891,0.005,8.855,0.101,0.009,0,0,0.076,0.851,0.146,0,0.131,8.12,5.946,0.003,5.903,0.101,0.009,0,0,0.152,1.702,0.073,0,0.131,13.888,5.946,2.054,3.849,0.003,0.101,0.009,0,0,0.152,1.702,0.073,0,0.131,13.888,3.869,0,1.138753537,-0.138753537,0.032855718
12A13_5,12A13_t_ms-4,12A13,1,43.9713,0.0299,36.9806,1.0709,0.094,0,0,0.4668,10.2194,0.35022304,0,0.4028,93.2643,0.17,93.095,0.732,0,0.363,0.015,0.001,0,0,0.008,0.108,0.009,0,0.021,1.464,0.001,1.088,0.015,0.001,0,0,0.008,0.108,0.018,0,0.021,2.713,11.868,0.006,8.822,0.121,0.011,0,0,0.061,0.88,0.146,0,0.172,8.108,5.934,0.003,5.881,0.121,0.011,0,0,0.122,1.759,0.073,0,0.172,13.904,5.934,2.066,3.815,0.003,0.121,0.011,0,0,0.122,1.759,0.073,0,0.172,13.904,3.828,0,1.137748679,-0.137748679,0.042971384
12A13_6,12A13_t_ms-8,12A13,1,44.1506,0.0233,37.0724,1.0235,0.03,0.0012,0,0.6068,10.1252,0.353531932,0,0.3521,93.4018,0.148,93.254,0.735,0,0.364,0.014,0,0,0,0.01,0.107,0.009,0,0.019,1.47,0.001,1.091,0.014,0,0,0,0.01,0.107,0.018,0,0.019,2.721,11.885,0.005,8.821,0.115,0.003,0,0,0.079,0.869,0.147,0,0.15,8.087,5.943,0.002,5.881,0.115,0.003,0,0,0.158,1.738,0.073,0,0.15,13.915,5.943,2.057,3.823,0.002,0.115,0.003,0,0,0.158,1.738,0.073,0,0.15,13.915,3.85,6.10E-05,1.136761821,-0.136822867,0.037465047
12A13_7,12A13_t_ms-10,12A13,1,43.4875,0.0504,37.0217,1.1031,0.0794,0,0,0.6835,9.7873,0.368138963,0.0014,0.3813,92.6259,0.161,92.465,0.724,0.001,0.363,0.015,0.001,0,0,0.011,0.104,0.009,0,0.02,1.448,0.001,1.089,0.015,0.001,0,0,0.011,0.104,0.019,0,0.02,2.699,11.802,0.01,8.88,0.125,0.009,0,0,0.09,0.847,0.154,0,0.164,8.152,5.901,0.005,5.92,0.125,0.009,0,0,0.18,1.694,0.077,0,0.164,13.912,5.901,2.099,3.821,0.005,0.125,0.009,0,0,0.18,1.694,0.077,0,0.164,13.912,3.836,0,1.144725109,-0.144725109,0.04090497
12A13_8,12A13_t_ms-9,12A13,1,44.1427,0.0091,37.0242,1.0927,0.0605,0.0105,0,0.6062,10.0061,0.364105503,0,0.4268,93.4383,0.18,93.259,0.735,0,0.363,0.015,0.001,0,0,0.01,0.106,0.009,0,0.022,1.469,0,1.089,0.015,0.001,0,0,0.01,0.106,0.019,0,0.022,2.721,11.88,0.002,8.807,0.123,0.007,0.002,0,0.079,0.859,0.151,0,0.182,8.084,5.94,0.001,5.871,0.123,0.007,0.002,0,0.158,1.717,0.076,0,0.182,13.895,5.94,2.06,3.811,0.001,0.123,0.007,0.002,0,0.158,1.717,0.076,0,0.182,13.895,3.818,0.000534075,1.135576113,-0.136110188,0.045399751
12A13_9,12A13_t_ms-7,12A13,1,44.365,0.0333,36.9074,1.0535,0.0936,0.0067,0,0.657,9.8773,0.369322354,0,0.402,93.4579,0.169,93.289,0.738,0,0.362,0.015,0.001,0,0,0.011,0.105,0.009,0,0.021,1.477,0.001,1.086,0.015,0.001,0,0,0.011,0.105,0.019,0,0.021,2.725,11.924,0.007,8.768,0.118,0.011,0.001,0,0.086,0.847,0.153,0,0.171,8.074,5.962,0.003,5.845,0.118,0.011,0.001,0,0.171,1.693,0.077,0,0.171,13.882,5.962,2.038,3.807,0.003,0.118,0.011,0.001,0,0.171,1.693,0.077,0,0.171,13.882,3.829,0.000340596,1.131047546,-0.131388141,0.042707357
12A13_10,12A13_t_ms-7,12A13,1,43.9497,0.0358,37.0007,1.1742,0.091,0,0,0.6414,9.4496,0.369322354,0,0.4809,92.8759,0.202,92.673,0.732,0,0.363,0.016,0.001,0,0,0.01,0.1,0.009,0,0.025,1.463,0.001,1.089,0.016,0.001,0,0,0.01,0.1,0.019,0,0.025,2.713,11.866,0.007,8.83,0.133,0.01,0,0,0.084,0.814,0.154,0,0.205,8.111,5.933,0.004,5.887,0.133,0.01,0,0,0.168,1.627,0.077,0,0.205,13.838,5.933,2.067,3.82,0.004,0.133,0.01,0,0,0.168,1.627,0.077,0,0.205,13.838,3.795,0,1.138344931,-0.138344931,0.051320306
12A13_11,12A13_t_ms-15,12A13,1,43.7597,0.0225,36.8384,1.0404,0.0846,0.0186,0,0.611,9.1739,0.465042811,0.0174,0.3564,91.9596,0.154,91.806,0.728,0,0.361,0.014,0.001,0,0,0.01,0.097,0.012,0,0.019,1.457,0.001,1.084,0.014,0.001,0,0,0.01,0.097,0.024,0,0.019,2.698,11.878,0.005,8.838,0.118,0.01,0.004,0,0.08,0.794,0.195,0.004,0.153,8.154,5.939,0.002,5.892,0.118,0.01,0.004,0,0.161,1.588,0.097,0.004,0.153,13.811,5.939,2.061,3.831,0.002,0.118,0.01,0.004,0,0.161,1.588,0.097,0.004,0.153,13.811,3.843,0.00094916,1.137227888,-0.138177048,0.038276093
12A13_12,12A13_t_ms-13,12A13,1,44.0364,0.0188,37.2054,1.009,0.0971,0,0,0.6202,9.4939,0.370894925,0,0.5016,93.0086,0.211,92.797,0.733,0,0.365,0.014,0.001,0,0,0.01,0.101,0.01,0,0.026,1.466,0,1.095,0.014,0.001,0,0,0.01,0.101,0.019,0,0.026,2.72,11.859,0.004,8.856,0.114,0.011,0,0,0.081,0.815,0.154,0,0.214,8.09,5.929,0.002,5.904,0.114,0.011,0,0,0.162,1.631,0.077,0,0.214,13.829,5.929,2.071,3.833,0.002,0.114,0.011,0,0,0.162,1.631,0.077,0,0.214,13.829,3.786,0,1.14038378,-0.14038378,0.053391099
12A13_13,12A13_t_ms-16,12A13,1,44.1602,0.0216,36.6341,1.0936,0.0675,0.0022,0,0.6219,9.9308,0.391113122,0.0007,0.422,93.0014,0.178,92.824,0.735,0,0.359,0.015,0.001,0,0,0.01,0.105,0.01,0,0.022,1.47,0.001,1.078,0.015,0.001,0,0,0.01,0.105,0.02,0,0.022,2.711,11.928,0.004,8.746,0.123,0.008,0,0,0.081,0.855,0.163,0,0.18,8.114,5.964,0.002,5.831,0.123,0.008,0,0,0.163,1.711,0.081,0,0.18,13.884,5.964,2.036,3.795,0.002,0.123,0.008,0,0,0.163,1.711,0.081,0,0.18,13.884,3.82,0.000112752,1.129667953,-0.129780705,0.045055743
12A13_14,12A13_t_ms-16,12A13,1,44.121,0.0332,36.6325,1.0019,0.0369,0.0003,0,0.5242,10.4714,0.391113122,0.0029,0.3376,93.1916,0.143,93.049,0.734,0,0.359,0.014,0.001,0,0,0.008,0.111,0.01,0,0.018,1.469,0.001,1.078,0.014,0.001,0,0,0.008,0.111,0.02,0,0.018,2.711,11.921,0.007,8.748,0.113,0.004,0,0,0.069,0.902,0.163,0.001,0.144,8.117,5.961,0.003,5.832,0.113,0.004,0,0,0.137,1.804,0.082,0.001,0.144,13.937,5.961,2.039,3.793,0.003,0.113,0.004,0,0,0.137,1.804,0.082,0.001,0.144,13.937,3.855,1.54E-05,1.130271222,-0.130286661,0.036060357
12A13_15,12A13_t_ms-16,12A13,1,43.9452,0.0257,36.1009,1.2008,0.1099,0.0043,0,0.6063,10.0088,0.391113122,0,0.4365,92.474,0.184,92.29,0.731,0,0.354,0.017,0.002,0,0,0.01,0.106,0.01,0,0.023,1.463,0.001,1.062,0.017,0.002,0,0,0.01,0.106,0.02,0,0.023,2.692,11.957,0.005,8.682,0.137,0.013,0.001,0,0.08,0.868,0.164,0,0.188,8.173,5.978,0.003,5.788,0.137,0.013,0.001,0,0.16,1.737,0.082,0,0.188,13.898,5.978,2.022,3.766,0.003,0.137,0.013,0.001,0,0.16,1.737,0.082,0,0.188,13.898,3.812,0.000222538,1.123800141,-0.124022679,0.046942257
13A08_1,13A08_4,13A08,3a,44.9583,0.1032,37.1008,1.1959,0.0343,0.044,0,0.5456,9.7136,0.338177854,0.0089,0.2579,94.0112,0.111,93.901,0.748,0.001,0.364,0.017,0,0.001,0,0.009,0.103,0.009,0,0.014,1.497,0.003,1.092,0.017,0,0.001,0,0.009,0.103,0.017,0,0.014,2.745,11.994,0.021,8.748,0.133,0.004,0.009,0,0.071,0.826,0.139,0.002,0.109,8.014,5.997,0.01,5.832,0.133,0.004,0.009,0,0.141,1.653,0.07,0.002,0.109,13.849,5.997,2.003,3.829,0.01,0.133,0.004,0.009,0,0.141,1.653,0.07,0.002,0.109,13.849,3.889,0.002195482,1.124243581,-0.126439063,0.027208051
